date,location,new_cases,new_deaths
2019-12-31,World,27,0
2020-1-1,World,0,0
2020-1-2,World,0,0
2020-1-3,World,17,0
2020-1-4,World,0,0
2020-1-5,World,15,0
2020-1-6,World,0,0
2020-1-7,World,0,0
2020-1-8,World,0,0
2020-1-9,World,0,0
2020-1-10,World,0,0
2020-1-11,World,0,1
2020-1-12,World,0,0
2020-1-13,World,1,0
2020-1-14,World,0,0
2020-1-15,World,1,1
2020-1-16,World,0,0
2020-1-17,World,5,0
2020-1-18,World,17,0
2020-1-19,World,136,1
2020-1-20,World,20,0
2020-1-21,World,153,3
2020-1-22,World,142,11
2020-1-23,World,97,0
2020-1-24,World,266,9
2020-1-25,World,453,15
2020-1-26,World,673,15
2020-1-27,World,797,25
2020-1-28,World,1767,25
2020-1-29,World,1480,26
2020-1-30,World,1756,38
2020-1-31,World,2003,43
2020-2-1,World,2120,46
2020-2-2,World,2608,46
2020-2-3,World,2818,57
2020-2-4,World,3243,65
2020-2-5,World,3907,66
2020-2-6,World,3751,72
2020-2-7,World,3218,73
2020-2-8,World,3442,86
2020-2-9,World,2619,89
2020-2-10,World,2988,97
2020-2-11,World,2565,108
2020-2-12,World,2072,97
2020-2-13,World,15151,255
2020-2-14,World,4215,13
2020-2-15,World,2560,144
2020-2-16,World,2162,142
2020-2-17,World,2067,106
2020-2-18,World,1995,98
2020-2-19,World,1864,139
2020-2-20,World,532,116
2020-2-21,World,996,119
2020-2-22,World,1085,112
2020-2-23,World,1008,104
2020-2-24,World,527,156
2020-2-25,World,793,79
2020-2-26,World,863,64
2020-2-27,World,1106,38
2020-2-28,World,1264,57
2020-2-29,World,1838,64
2020-3-1,World,1821,58
2020-3-2,World,2044,67
2020-3-3,World,1596,72
2020-3-4,World,2413,84
2020-3-5,World,2239,80
2020-3-6,World,2856,103
2020-3-7,World,3961,103
2020-3-8,World,3691,97
2020-3-9,World,3871,229
2020-3-10,World,4537,209
2020-3-11,World,4378,269
2020-3-12,World,6887,326
2020-3-13,World,8355,351
2020-3-14,World,9375,438
2020-3-15,World,8140,354
2020-3-16,World,16051,745
2020-3-17,World,12678,596
2020-3-18,World,14740,789
2020-3-19,World,18314,951
2020-3-20,World,29214,1041
2020-3-21,World,28742,1366
2020-3-22,World,34011,1690
2020-3-23,World,33016,1660
2020-3-24,World,39785,1764
2020-3-25,World,38927,2200
2020-3-26,World,51204,2426
2020-3-27,World,59718,2681
2020-3-28,World,63937,3318
2020-3-29,World,65162,3461
2020-3-30,World,58487,3125
2020-3-31,World,62445,3698
